Rack Position,Steering Wheel,Right Wheel Toe In
-0.85,-90,-20.581
-0.849,-89.89411765,-20.558
-0.848,-89.78823529,-20.534
-0.847,-89.68235294,-20.51
-0.846,-89.57647059,-20.487
-0.845,-89.47058824,-20.463
-0.844,-89.36470588,-20.439
-0.843,-89.25882353,-20.416
-0.842,-89.15294118,-20.392
-0.841,-89.04705882,-20.368
-0.84,-88.94117647,-20.345
-0.839,-88.83529412,-20.321
-0.838,-88.72941176,-20.297
-0.837,-88.62352941,-20.274
-0.836,-88.51764706,-20.25
-0.835,-88.41176471,-20.226
-0.834,-88.30588235,-20.203
-0.833,-88.2,-20.179
-0.832,-88.09411765,-20.155
-0.831,-87.98823529,-20.131
-0.83,-87.88235294,-20.108
-0.829,-87.77647059,-20.084
-0.828,-87.67058824,-20.06
-0.827,-87.56470588,-20.037
-0.826,-87.45882353,-20.013
-0.825,-87.35294118,-19.989
-0.824,-87.24705882,-19.966
-0.823,-87.14117647,-19.942
-0.822,-87.03529412,-19.918
-0.821,-86.92941176,-19.895
-0.82,-86.82352941,-19.871
-0.819,-86.71764706,-19.847
-0.818,-86.61176471,-19.824
-0.817,-86.50588235,-19.8
-0.816,-86.4,-19.776
-0.815,-86.29411765,-19.752
-0.814,-86.18823529,-19.729
-0.813,-86.08235294,-19.705
-0.812,-85.97647059,-19.681
-0.811,-85.87058824,-19.658
-0.81,-85.76470588,-19.634
-0.809,-85.65882353,-19.61
-0.808,-85.55294118,-19.587
-0.807,-85.44705882,-19.563
-0.806,-85.34117647,-19.539
-0.805,-85.23529412,-19.516
-0.804,-85.12941176,-19.492
-0.803,-85.02352941,-19.468
-0.802,-84.91764706,-19.445
-0.801,-84.81176471,-19.421
-0.8,-84.70588235,-19.397
-0.799,-84.6,-19.373
-0.798,-84.49411765,-19.35
-0.797,-84.38823529,-19.326
-0.796,-84.28235294,-19.302
-0.795,-84.17647059,-19.279
-0.794,-84.07058824,-19.255
-0.793,-83.96470588,-19.231
-0.792,-83.85882353,-19.208
-0.791,-83.75294118,-19.184
-0.79,-83.64705882,-19.16
-0.789,-83.54117647,-19.137
-0.788,-83.43529412,-19.113
-0.787,-83.32941176,-19.089
-0.786,-83.22352941,-19.065
-0.785,-83.11764706,-19.042
-0.784,-83.01176471,-19.018
-0.783,-82.90588235,-18.994
-0.782,-82.8,-18.971
-0.781,-82.69411765,-18.947
-0.78,-82.58823529,-18.923
-0.779,-82.48235294,-18.9
-0.778,-82.37647059,-18.876
-0.777,-82.27058824,-18.852
-0.776,-82.16470588,-18.828
-0.775,-82.05882353,-18.805
-0.774,-81.95294118,-18.781
-0.773,-81.84705882,-18.757
-0.772,-81.74117647,-18.734
-0.771,-81.63529412,-18.71
-0.77,-81.52941176,-18.686
-0.769,-81.42352941,-18.663
-0.768,-81.31764706,-18.639
-0.767,-81.21176471,-18.615
-0.766,-81.10588235,-18.591
-0.765,-81,-18.568
-0.764,-80.89411765,-18.544
-0.763,-80.78823529,-18.52
-0.762,-80.68235294,-18.497
-0.761,-80.57647059,-18.473
-0.76,-80.47058824,-18.449
-0.759,-80.36470588,-18.426
-0.758,-80.25882353,-18.402
-0.757,-80.15294118,-18.378
-0.756,-80.04705882,-18.354
-0.755,-79.94117647,-18.331
-0.754,-79.83529412,-18.307
-0.753,-79.72941176,-18.283
-0.752,-79.62352941,-18.26
-0.751,-79.51764706,-18.236
-0.75,-79.41176471,-18.212
-0.749,-79.30588235,-18.188
-0.748,-79.2,-18.165
-0.747,-79.09411765,-18.141
-0.746,-78.98823529,-18.117
-0.745,-78.88235294,-18.094
-0.744,-78.77647059,-18.07
-0.743,-78.67058824,-18.046
-0.742,-78.56470588,-18.023
-0.741,-78.45882353,-17.999
-0.74,-78.35294118,-17.975
-0.739,-78.24705882,-17.951
-0.738,-78.14117647,-17.928
-0.737,-78.03529412,-17.904
-0.736,-77.92941176,-17.88
-0.735,-77.82352941,-17.857
-0.734,-77.71764706,-17.833
-0.733,-77.61176471,-17.809
